,stations,lats,lons,start,end,datapoints,continuous datapoints
173,1160300_Q_Day.Cmd.txt,-33.380556,19.301389,1923-02,2020-05,34432,9942
92,1159417_Q_Day.Cmd.txt,-28.11722222,26.71916667,1995-11,2020-05,6511,2698
318,1160725_Q_Day.Cmd.txt,-29.64244444,30.68861111,1989-10,2020-05,10573,5789
306,1160704_Q_Day.Cmd.txt,-29.80394558,30.51587147,1981-11,2020-05,13917,7241
101,1159520_Q_Day.Cmd.txt,-27.355833,27.285556,1947-11,2020-05,26241,7520
273,1160240_Q_Day.Cmd.txt,-33.184722,19.155278,1968-03,2020-05,17723,11632
130,1159820_Q_Day.Cmd.txt,-27.847778,28.945,1954-01,2020-05,22471,4914
160,1160265_Q_Day.Cmd.txt,-33.313889,19.074444,1954-05,2020-05,23376,9093
274,1160310_Q_Day.Cmd.txt,-33.359444,19.298056,1965-02,2020-04,19664,8113
555,1258502_Q_Day.Cmd.txt,-22.96666667,16.38333333,1976-10,2020-04,15575,3496
110,1159550_Q_Day.Cmd.txt,-26.97056,27.20967,1938-10,2020-03,28818,8260
408,1196220_Q_Day.Cmd.txt,-23.83532041,31.63744893,1984-02,2020-03,11572,3684
362,1160882_Q_Day.Cmd.txt,-28.721667,29.375556,1967-08,2020-03,19058,4781
363,1160883_Q_Day.Cmd.txt,-28.75002778,30.44222222,1927-01,2020-03,31134,6669
610,1259451_Q_Day.Cmd.txt,-22.13333333,18.81666667,1970-02,2020-02,17263,4405
317,1160723_Q_Day.Cmd.txt,-29.60772222,30.45025,1996-02,2020-02,8153,5111
232,1160455_Q_Day.Cmd.txt,-33.955556,23.638333,1961-06,2020-02,21083,5440
404,1196205_Q_Day.Cmd.txt,-23.216284,31.22354527,1983-11,2020-02,12936,10201
405,1196210_Q_Day.Cmd.txt,-22.837778,31.237222,1960-08,2020-02,20020,4455
406,1196213_Q_Day.Cmd.txt,-23.2810156,30.54309374,1986-08,2020-02,10723,3053
414,1196360_Q_Day.Cmd.txt,-24.282778,28.089722,1948-04,2020-02,25063,5326
416,1196380_Q_Day.Cmd.txt,-23.763611,27.908056,1962-09,2020-02,18749,6857
431,1196300_Q_Day.Cmd.txt,-24.1594,27.479167,1962-08,2020-02,20846,4460
311,1160709_Q_Day.Cmd.txt,-29.748889,30.316944,1981-07,2020-02,13838,5954
228,1160441_Q_Day.Cmd.txt,-33.803333,23.135278,1961-08,2020-02,21270,4894
606,1259370_Q_Day.Cmd.txt,-24.31666667,18.43333333,2005-10,2020-02,5009,2046
604,1259350_Q_Day.Cmd.txt,-25.01666667,18.88333333,1973-11,2020-02,15991,5336
